0 ['会社名', '会社URL', '送信日', '返信状況など', '冒頭文']
1 ['株式会社ラズライト', 'https://lazurite-web.com/', '2025/11/24', '', '']
2 ['株式会社SYUUSAI', 'https://syuusai.co.jp/', '2025/11/24', '面談', '']
3 ['BISTE', 'https://biste.co.jp/', '2026/05/19', '', '']
4 ['りえぞんテクノロジーズ株式会社', 'https://liaison-tech.co.jp/', '2025/11/25', '', '']
5 ['kadomaru inc.', 'https://kadomaru.tech/', '2025/11/25', '', '']
6 ['株式会社n2v', 'https://n2v.co.jp/', '2025/11/25', '', '']
7 ['ブラーヴォ（BRAVO）', 'https://www.bra-vo.co.jp/', '2025/11/25', '面談', '']
8 ['株式会社フォティーノ', 'https://photino.co.jp/', '2025/11/25', '', '']
9 ['株式会社コンフィデンス・プロ', 'https://confidence-pro.jp/', '', '', '']
10 ['サーバーフリー株式会社', 'https://www.server-free.com/', '2025/11/25', '', '']
11 ['リーディングカンパニー', 'https://innova-jp.com/', '2025/12/1', '返信あり', '']
12 ['ESA CREATE inc.（株式会社イーサクリエイト）', 'https://esa-create.co.jp/', '2025/12/1', '', '']
13 ['イチアール株式会社 | イチアール株式会社のオフィシャルサイトです。企業情報、ニュース、中途・ キャリア採用情報などのさまざまな情報をご覧いただけます。', 'https://1-r.co.jp/', '2025/12/1', '', '']
14 ['採用情報 トランスコスモス', 'https://www.trans-cosmos.co.jp/saiyou/', '', '派遣', '']
15 ['株式会社ワンエイティ | デジタルマーケティング,ウェブ開発,DXプラットフォーム「DIGITALEYES」,デジタルマーケティングのことなら株式会社ワンエイティ', 'https://o-eighty.jp/', '2025/12/1', '', '']
16 ['株式会社bluena', 'https://www.bluena.co.jp/', '', '派遣', '']
17 ['SPONTO Inc.', 'https://sponto.co.jp/', '', '派遣', '']
18 ['ビー・ピー・ネット株式会社', 'https://www.bp-net.ne.jp/', '2025/12/1', '', '']
19 ['株式会社SPARK', 'https://uranaga.com/', '2025/12/1', '面談', '']
20 ['レベルフォーデザイン | Design and Branding Company', 'https://l4d.jp/', '2025/12/1', '', '']
21 ['株式会社ドキドキグルーヴワークス', 'https://dokidoki.co.jp/', '2026/05/19', '', '']
22 ['映像 × Webプロモーションの株式会社アイス', 'https://www.ice.tc/', '2026/01/06', '', '']
23 ['株式会社Areus (アレス)', 'https://www.areus.jp/', '2026/01/06', '', '']
24 ['株式会社スターラボ', 'https://star-labo.co.jp/', '2026/01/06', '', '']
25 ['Axis Vision', 'https://m-axis.jp/', '2026/01/06', '', '']
26 ['株式会社ExKey', 'https://exkey.jp/wp/', '2026/01/06', '', '']
27 ['株式会社DANDL', 'https://dandl.jp/', '2026/05/19', '', '']
28 ['株式会社ナウラ &#8211; nauraa &#8211; Just another WordPress site', 'https://nauraa.co.jp/', '', '送れず', '']
29 ['カオルデザイン', 'https://kaorudesign.com/', '2026/05/20', '', '']
30 ['株式会社いえらぶ琉球', 'https://www.ielove-ryukyu.co.jp/', '', '', '']
31 ['K&amp;L Inc. - K&amp;Lは日本、中国、インドに拠点を持つグローバルな広告会社です。ブランディング、コンテンツマーケティング、デジタル戦略で企業の成長を支援します。', 'https://www.klt.co.jp/', '2026/01/07', '', '']
32 ['501 Not Implemented', 'https://www.marukin-ad.co.jp/', '2026/01/07', '', '']
33 ['［公式］中京広告株式会社 | Just another WordPress site', 'https://chukyo-ad.com', '2026/05/19', '', '']
34 ['株式会社ソースクリエイト | 福岡のホームページ制作会社', 'https://www.source.co.jp/', '2026/01/07', '', '']
35 ['株式会社シンフォニカル', 'https://www.symfonical.co.jp/', '2026/01/07', '', '']
36 ['株式会社アイ・ファクトリー', 'https://i-fc.jp/', '2026/05/20', '', '']
37 ['アスコープ株式会社／ascope, Inc.', 'https://ascope.co.jp/', '2026/01/08', '', '']
38 ['株式会社TEORY', 'https://www.teory.co.jp/index.html', '2026/01/08', '', '']
39 ['（取得失敗）', 'https://hydy.jp/', '2026/01/13', '', '']
40 ['株式会社NONAME Produce(n2p)', 'https://n2p.co.jp/', '', '', '']
41 ['株式会社東名', 'https://www.toumei.co.jp/', '2026/01/13', '', '']
42 ['株式会社TEAMS｜広告・企画・デザイン・制作をワンストップで', 'https://www.team-s.co.jp/', '2026/01/13', '', '']
43 ['aiWAVE（アイウェイヴ） | 女性集客に強いホームページ制作ならアイウェイヴ', 'https://www.aiwave.jp/', '2026/01/14', '', '']
44 ['501 Not Implemented', 'https://zealife.jp/', '2026/01/16', '', '']
45 ['トエビス株式会社｜開発・Web制作・広告・ブランディング |', 'https://www.toebisu.jp/', '2026/01/16', '', '']
46 ['株式会社レンサ - Rensa Co., Ltd.', 'https://rensa.co.jp/', '2026/01/16', '', '']
47 ['株式会社カスタメディア', 'https://service.customedia.co.jp/', '2026/01/22', '', '']
48 ['K&amp;R株式会社コーポレートサイト', 'https://knrcompany.jp/', '2026/01/22', '', '']
49 ['株式会社できるくん', 'https://utill.co.jp/', '2026/01/22', '', '']
